,VIX,regime,regime_name
2008-01-31,26.200000762939453,1,stressed
2008-02-29,26.540000915527344,1,stressed
2008-03-31,25.61000061035156,1,stressed
2008-04-30,20.790000915527344,1,stressed
2008-05-31,17.829999923706055,0,calm
2008-06-30,23.950000762939453,1,stressed
2008-07-31,22.940000534057617,1,stressed
2008-08-31,20.649999618530273,1,stressed
2008-09-30,39.38999938964844,2,crisis
2008-10-31,59.88999938964844,2,crisis
2008-11-30,55.279998779296875,2,crisis
2008-12-31,40.0,2,crisis
2009-01-31,44.84000015258789,2,crisis
2009-02-28,46.349998474121094,2,crisis
2009-03-31,44.13999938964844,2,crisis
2009-04-30,36.5,2,crisis
2009-05-31,28.920000076293945,1,stressed
2009-06-30,26.350000381469727,1,stressed
2009-07-31,25.920000076293945,1,stressed
2009-08-31,26.010000228881836,1,stressed
2009-09-30,25.61000061035156,1,stressed
2009-10-31,30.690000534057617,2,crisis
2009-11-30,24.510000228881836,1,stressed
2009-12-31,21.68000030517578,1,stressed
2010-01-31,24.6200008392334,1,stressed
2010-02-28,19.5,0,calm
2010-03-31,17.59000015258789,0,calm
2010-04-30,22.049999237060547,1,stressed
2010-05-31,32.06999969482422,2,crisis
2010-06-30,34.540000915527344,2,crisis
2010-07-31,23.5,1,stressed
2010-08-31,26.049999237060547,1,stressed
2010-09-30,23.700000762939453,1,stressed
2010-10-31,21.200000762939453,1,stressed
2010-11-30,23.540000915527344,1,stressed
2010-12-31,17.75,0,calm
2011-01-31,19.530000686645508,0,calm
2011-02-28,18.350000381469727,0,calm
2011-03-31,17.739999771118164,0,calm
2011-04-30,14.75,0,calm
2011-05-31,15.449999809265137,0,calm
2011-06-30,16.520000457763672,0,calm
2011-07-31,25.25,1,stressed
2011-08-31,31.6200008392334,2,crisis
2011-09-30,42.959999084472656,2,crisis
2011-10-31,29.959999084472656,1,stressed
2011-11-30,27.799999237060547,1,stressed
2011-12-31,23.399999618530273,1,stressed
2012-01-31,19.440000534057617,0,calm
2012-02-29,18.43000030517578,0,calm
2012-03-31,15.5,0,calm
2012-04-30,17.149999618530273,0,calm
2012-05-31,24.059999465942383,1,stressed
2012-06-30,17.079999923706055,0,calm
2012-07-31,18.93000030517578,0,calm
2012-08-31,17.469999313354492,0,calm
2012-09-30,15.729999542236328,0,calm
2012-10-31,18.600000381469727,0,calm
2012-11-30,15.869999885559082,0,calm
2012-12-31,18.020000457763672,0,calm
2013-01-31,14.279999732971191,0,calm
2013-02-28,15.510000228881836,0,calm
2013-03-31,12.699999809265137,0,calm
2013-04-30,13.520000457763672,0,calm
2013-05-31,16.299999237060547,0,calm
2013-06-30,16.860000610351562,0,calm
2013-07-31,13.449999809265137,0,calm
2013-08-31,17.010000228881836,0,calm
2013-09-30,16.600000381469727,0,calm
2013-10-31,13.75,0,calm
2013-11-30,13.699999809265137,0,calm
2013-12-31,13.720000267028809,0,calm
2014-01-31,18.40999984741211,0,calm
2014-02-28,14.0,0,calm
2014-03-31,13.880000114440918,0,calm
2014-04-30,13.40999984741211,0,calm
2014-05-31,11.399999618530272,0,calm
2014-06-30,11.56999969482422,0,calm
2014-07-31,16.950000762939453,0,calm
2014-08-31,12.09000015258789,0,calm
2014-09-30,16.309999465942383,0,calm
2014-10-31,14.029999732971191,0,calm
2014-11-30,13.329999923706056,0,calm
2014-12-31,19.200000762939453,0,calm
2015-01-31,20.969999313354492,1,stressed
2015-02-28,13.34000015258789,0,calm
2015-03-31,15.289999961853027,0,calm
2015-04-30,14.550000190734863,0,calm
2015-05-31,13.84000015258789,0,calm
2015-06-30,18.229999542236328,0,calm
2015-07-31,12.119999885559082,0,calm
2015-08-31,28.43000030517578,1,stressed
2015-09-30,24.5,1,stressed
2015-10-31,15.06999969482422,0,calm
2015-11-30,16.1299991607666,0,calm
2015-12-31,18.209999084472656,0,calm
2016-01-31,20.200000762939453,1,stressed
2016-02-29,20.549999237060547,1,stressed
2016-03-31,13.949999809265137,0,calm
2016-04-30,15.699999809265137,0,calm
2016-05-31,14.1899995803833,0,calm
2016-06-30,15.630000114440918,0,calm
2016-07-31,11.869999885559082,0,calm
2016-08-31,13.420000076293944,0,calm
2016-09-30,13.289999961853027,0,calm
2016-10-31,17.059999465942383,0,calm
2016-11-30,13.329999923706056,0,calm
2016-12-31,14.039999961853027,0,calm
2017-01-31,11.989999771118164,0,calm
2017-02-28,12.920000076293944,0,calm
2017-03-31,12.369999885559082,0,calm
2017-04-30,10.81999969482422,0,calm
2017-05-31,10.40999984741211,0,calm
2017-06-30,11.18000030517578,0,calm
2017-07-31,10.260000228881836,0,calm
2017-08-31,10.59000015258789,0,calm
2017-09-30,9.510000228881836,0,calm
2017-10-31,10.18000030517578,0,calm
2017-11-30,11.279999732971191,0,calm
2017-12-31,11.039999961853027,0,calm
2018-01-31,13.539999961853027,0,calm
2018-02-28,19.850000381469727,0,calm
2018-03-31,19.969999313354492,0,calm
2018-04-30,15.93000030517578,0,calm
2018-05-31,15.43000030517578,0,calm
2018-06-30,16.09000015258789,0,calm
2018-07-31,12.829999923706056,0,calm
2018-08-31,12.859999656677246,0,calm
2018-09-30,12.119999885559082,0,calm
2018-10-31,21.229999542236328,1,stressed
2018-11-30,18.06999969482422,0,calm
2018-12-31,25.420000076293945,1,stressed
2019-01-31,16.56999969482422,0,calm
2019-02-28,14.779999732971191,0,calm
2019-03-31,13.710000038146973,0,calm
