,FEDFUNDS,CPI_INFLATION,GS10,SP500_RETURN,VIX,regime,regime_name
1992-02-29,4.06,0.002169197396963,7.34,0.0095438553095764,16.68000030517578,0,calm
1992-03-31,3.98,0.0036075036075036,7.54,-0.0220737036066379,16.18000030517578,0,calm
1992-04-30,3.73,0.0021567217828901,7.48,0.0275107977321741,15.529999732971191,0,calm
1992-05-31,3.82,0.0021520803443326,7.39,0.0009634925174195,13.859999656677246,0,calm
1992-06-30,3.76,0.0028632784538296,7.26,-0.0175112642882969,13.350000381469728,0,calm
1992-07-31,3.25,0.0028551034975017,6.84,0.0386183068038767,13.170000076293944,0,calm
1992-08-31,3.3,0.0021352313167259,6.59,-0.0242901634758197,13.579999923706056,0,calm
1992-09-30,3.22,0.0021306818181816,6.42,0.0090643878853475,14.279999732971191,0,calm
1992-10-31,3.1,0.0042523033309709,6.59,0.0021040675880259,16.149999618530273,0,calm
1992-11-30,3.09,0.0028228652081863,6.87,0.0298129521792992,13.010000228881836,0,calm
1992-12-31,2.92,0.0014074595355384,6.77,0.0100570251483202,12.56999969482422,0,calm
1993-01-31,3.02,0.0035137034434293,6.6,0.0070212809081691,12.420000076293944,0,calm
1993-02-28,3.03,0.0021008403361342,6.26,0.0104290554496347,13.15999984741211,0,calm
1993-03-31,3.07,0.0013976240391335,5.98,0.0185246532428304,12.529999732971191,0,calm
1993-04-30,2.96,0.0034891835310537,5.97,-0.0257453969876002,12.420000076293944,0,calm
1993-05-31,3.0,0.002781641168289,6.04,0.0224632638651839,13.470000267028809,0,calm
1993-06-30,3.04,0.0006934812760057,5.96,0.0007549434975973,11.260000228881836,0,calm
1993-07-31,3.06,0.0013860013860012,5.81,-0.0053412850077939,11.729999542236328,0,calm
1993-08-31,3.03,0.002076124567474,5.68,0.0338524414108163,11.850000381469728,0,calm
1993-09-30,3.09,0.0013812154696131,5.36,-0.010038144175098,12.989999771118164,0,calm
1993-10-31,2.99,0.0041379310344826,5.33,0.0192072763372997,11.460000038146973,0,calm
